Año;Mes;División;Grupo;Clase;Subclase;Producto;Glosa;Ponderación;Índice;Variación Mensual ( % );Variación Acumulada ( % );Variación 12 Meses ( % );Incidencia Mensual ( % );Incidencia Acumulada ( % );Incidencia 12 Meses ( % ),,,,,,,,,,,
2014;1;4;2;1;1;;MATERIALES PARA LA CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA;0,82714;102,58;-1,2;-1,2;;-0,010;-0,010;,,,,,
2014;1;5;2;1;1;;TEXTILES PARA EL HOGAR;0,29162;97,37;-1,8;-1,8;;-0,005;-0,005;,,,,,
2014;1;6;2;1;1;;SERVICIOS MÉDICOS;1,21586;101,67;0,6;0,6;;0,008;0,008;,,,,,
2014;1;7;2;1;1;;REPUESTOS Y ACCESORIOS PARA EL AUTOMÓVIL;0,44194;99,48;3,4;3,4;;0,014;0,014;,,,,,
2014;1;8;2;1;1;;SERVICIOS DE TELECOMUNICACIONES;4,59086;100,38;0,0;0,0;;0,000;0,000;,,,,,
2014;1;9;2;1;1;;JUGUETES Y CONSOLAS DE VIDEOJUEGO;0,49573;97,70;0,2;0,2;;0,001;0,001;,,,,,
2014;1;10;2;1;1;;SERVICIOS DE EDUCACIÓN DE LA ENSEÑANZA MEDIA;0,7535;100,89;0,0;0,0;;0,000;0,000;,,,,,
2014;1;11;2;1;1;;SERVICIOS DE ALOJAMIENTO;0,42123;104,74;0,9;0,9;;0,004;0,004;,,,,,
2014;1;12;2;1;1;;JOYERÍA Y RELOJES;0,20981;100,5;0,5;0,5;;0,001;0,001;,,,,,
2014;1;4;3;1;1;;SUMINISTRO DE AGUA Y ALCANTARILLADO;1,85621;103,0;0,3;0,3;;0,006;0,006;,,,,,
2014;1;5;3;1;1;;LÍNEA BLANCA;0,68698;95,84;0,5;0,5;;0,003;0,003;,,,,,
2014;1;6;3;1;1;;SERVICIOS DE HOSPITALIZACIÓN;0,8264;101,56;0,5;0,5;;0,005;0,005;,,,,,
2014;1;7;3;1;1;;SERVICIOS DE TRANSPORTE DE PASAJEROS POR VÍAS URBANAS;1,88574;103,18;0,4;0,4;;0,007;0,007;,,,,,
2014;1;9;3;1;1;;SERVICIOS PRESTADOS POR RECINTOS DE RECREACIÓN Y DEPORTIVOS;0,6117;103,49;0,2;0,2;;0,001;0,001;,,,,,
2014;1;10;3;1;1;;SERVICIOS DE PRE UNIVERSITARIO;0,10966;102,08;0,0;0,0;;0,000;0,000;,,,,,
2014;1;12;3;1;1;;SEGUROS RELACIONADOS CON EL TRANSPORTE;0,48124;99,41;4,3;4,3;;0,019;0,019;,,,,,
2014;1;4;4;1;1;;ELECTRICIDAD;2,69314;100,00;-0,1;-0,1;;-0,003;-0,003;,,,,,
2014;1;5;4;1;1;;ARTÍCULOS Y UTENSILIOS PARA EL HOGAR;0,29348;99,64;0,7;0,7;;0,002;0,002;,,,,,
2014;1;9;4;1;1;;TEXTOS ESCOLARES;0,22115;100,44;0,0;0,0;;0,000;0,000;,,,,,
2014;1;10;4;1;1;;SERVICIOS DE EDUCACIÓN SUPERIOR;5,01108;100,97;0,0;0,0;;0,000;0,000;,,,,,
2014;1;12;4;1;1;;GASTOS EN ADMINISTRACIÓN DE LOS SERVICIOS FINANCIEROS;2,42126;99,93;-0,5;-0,5;;-0,013;-0,013;,,,,,
2014;1;5;5;1;1;;HERRAMIENTAS;0,19111;99,69;0,7;0,7;;0,001;0,001;,,,,,
2014;1;9;5;1;1;;SERVICIOS DE VIAJES CON TODO INCLUIDO;0,78711;105,72;-0,3;-0,3;;-0,003;-0,003;,,,,,
2014;1;10;5;1;1;;SERVICIOS DE ENSEÑANZA NO ATRIBUIBLE A NINGÚN NIVEL;0,10569;101,21;1,8;1,8;;0,002;0,002;,,,,,
2014;1;12;5;1;1;;OTROS SERVICIOS;0,85856;104,34;1,1;1,1;;0,010;0,010;,,,,,
2014;1;5;6;1;1;;PRODUCTOS DE LIMPIEZA PARA EL HOGAR;0,88065;100,66;-1,5;-1,5;;-0,013;-0,013;,,,,,
2014;1;1;1;2;1;;CARNE DE VACUNO FRESCA, REFRIGERADA O CONGELADA;1,71291;99,75;-1,0;-1,0;;-0,017;-0,017;,,,,
2014;1;2;1;2;1;;VINOS;0,69043;99,99;0,7;0,7;;0,005;0,005;,,,,,
2014;1;3;1;2;1;;VESTUARIO PARA HOMBRE;0,91088;95,57;-3,7;-3,7;;-0,033;-0,033;,,,,,
2014;1;5;1;2;1;;SERVICIO DE REPARACIÓN DE MUEBLES;0,04053;104,73;0,0;0,0;;0,000;0,000;,,,,,
2014;1;6;1;2;1;;OTROS PRODUCTOS MÉDICOS;0,09425;102,10;0,0;0,0;;0,000;0,000;,,,,,
2014;1;7;1;2;1;;MOTOCICLETA;0,10059;100,21;0,5;0,5;;0,001;0,001;,,,,,
2014;1;9;1;2;1;;CÁMARAS;0,17316;99,08;1,4;1,4;;0,002;0,002;,,,,,
2014;1;12;1;2;1;;PRODUCTOS PARA EL CUIDADO PERSONAL;0,57839;100,16;-0,5;-0,5;;-0,003;-0,003;,,,,,
